nama_waduk/situ,luas_rencana_(ha),luas_eksisting_(ha),wilayah,keterangan
Waduk Melati,3.5,3.5,Jakarta Pusat,
Waduk Taman Ria Senayan,6.0,6.0,Jakarta Pusat,
Waduk Tomang,6.0,6.0,Jakarta Barat,
Situ Babakan,32.0,32.0,Jakarta Selatan,
Situ Mangga Bolong,12.0,10.5,Jakarta Selatan,
Situ UI,,7.0,Jakarta Selatan,
Waduk Bonbin Ragunan,10.0,10.0,Jakarta Selatan,
Waduk Brigif,12.0,8.89,Jakarta Selatan,
Waduk Ragunan 1,11.0,11.0,Jakarta Selatan,
Jambore Cibubur (Baru),,8.0,Jakarta Timur,
Situ Rawa Dongkal,12.0,12.0,Jakarta Timur,
Situ Rawa Rorotan,50.0,50.0,Jakarta Timur,
Waduk Cilangkap,13.0,13.0,Jakarta Timur,
Waduk Cipayung,34.75,34.75,Jakarta Timur,
Waduk Halim 1,7.0,7.0,Jakarta Timur,
Waduk Halim 2,12.0,12.0,Jakarta Timur,
Waduk Pondok Rangon 1,11.45,9.98,Jakarta Timur,
Waduk Ria Rio,,9.0,Jakarta Timur,
Waduk Sunter Hulu,12.0,5.0,Jakarta Timur,
Situ Rawa Kendal,27.5,10.0,Jakarta Utara,
Waduk Kemayoran,11.3,11.3,Jakarta Utara,
Waduk Marunda,56.0,31.2,Jakarta Utara,
Waduk Pluit,80.0,80.0,Jakarta Utara,
Waduk Sunter Selatan,43.0,38.0,Jakarta Utara,
Waduk Sunter Timur 1 A,7.0,7.0,Jakarta Utara,
Waduk Sunter Timur 1 B,8.0,8.0,Jakarta Utara,
Waduk Sunter Timur 3,13.0,13.0,Jakarta Utara,
Waduk Sunter Utara,32.0,32.0,Jakarta Utara,
