nama_pelabuhan,lokasi,status/hierarki_pelabuhan
Tg. Priok ,Jakarta Utara,Pelabuhan Utama
Kalibaru ,Jakarta Utara,Pelabuhan Pengumpul
Muara Baru ,Jakarta Utara,Pelabuhan Pengumpul
Sunda Kelapa ,Jakarta Utara,Pelabuhan Pengumpul
Marunda ,Jakarta Utara,Pelabuhan Pengumpul
Muara Angke Kaliadem,Jakarta Utara,Pelabuhan Pengumpan Regional
Pantai Mutiara ,Jakarta Utara,Pelabuhan Pengumpan Regional
Marina Ancol ,Jakarta Utara,Pelabuhan Pengumpan Regional
Pangkalan Pasir Kalibaru ,Jakarta Utara,Pelabuhan Pengumpan Regional
Cakung Drain Cilincing ,Jakarta Utara,Pelabuhan Pengumpan Regional
Pulau Kelapa ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Harapan ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Sebira ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Untung jawa ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Pari,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Lancang,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Pramuka ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Panggang ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Tidung ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Pulau Payung ,Kepulauan Seribu,Pelabuhan Pengumpan Lokal
Kamal Muara,Jakarta Utara,Pelabuhan Nelayan
Muara Angke Perikanan,Jakarta Utara,Pelabuhan Nelayan
