nama_fasilitas,luas_tanah,luas_bangunan,luas_keseluruhan  
Lapangan Basket / Voli / Bulu  Tangkis Jl. Komp. DPR RI Joglo,3220,,3220
Lapangan Bola Volly Jl. AF 11/45 Pedongkelan Kapuk,500,,500
Lapangan bulutangkis Kp. Rawa Melati Kel.Tegal Alur,368,,368
Lapangan volly Kamp. Belakang Kamal,605,,605
"Lapangan Basket Jl. Angsana Raya / Jl. Akasia Raya, Cengkareng Timur",781,,781
Lapangan Sepakbola Pegadungan Jl. Peta Utara Kel. Pegadungan,7180,,7180
Lapangan Sepakbola Semanan Jl. Raya Semanan Kel Semanan,11581,,11581
Lapangan Sepakbola Srengseng Jl. Lap Sepakbola Srengseng Kel Srengseng,10793,,10793
Lapangan Sepakbola Kedoya Jl. Pilar Baru  Kel. Kedoya Selatan,4725,,4725
Lapangan Sepakbola Kebon Jeruk Jl. Raya Kebon Jeruk Kel. Kebon Jeruk,7105,,7105
Lapangan Sepakbola Persima Jl. Raya Kalianyar IX Kel. Kalianyar,6336,,6336
Lapangan Sepakbola Wijaya Kusuma Jl. Anggrek Garuda Blok E23 Kel. Kemanggisan,12733,,12733
"Lapangan Terbuka Jatipulo, Palmerah",5000,,5000
Kantor Pelayanan GOR Cendrawasih,4303,48,4351
Gedung Bulutangkis,5721,1740,7461
Gedung Asrama Atlit,2125,24,2149
Gedung Serbaguna,11240,14625,25865
Lapangan Tenis Cengkareng,1625,30,1655
Lapangan Futsal,3651,54,3705
Stadion Sepakbola Taman Sari,10000,404,10404
Stadion Sepakbola  dan Lapter Sepakbola Cendrawasih,42961,300,43261
