jenis_kendaraan,merk,tahun_pengadaan,bahan_bakar,konsumsi_bbm_per_hari,lokasi_penyimpanan,kondisi
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Palmerah,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kalideres,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Palmerah,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Palmerah,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Palmerah,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kalideres,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Kembangan,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Kembangan,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kalideres,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Grogol Petamburan,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Kembangan,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Grogol Petamburan,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Palmerah,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Kembangan,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Grogol Petamburan,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Grogol Petamburan,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kalideres,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Kembangan,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Grogol Petamburan,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Grogol Petamburan,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kalideres,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Tambora,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Kembangan,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kalideres,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Baik
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Cengkareng,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Seksi. Kec. Kebon Jeruk,Rusak Berat
Gerobak Motor,Kaisar / Triseda,2011,Bensin,3 Liter,Kec. Palmerah,Rusak Berat
