kegiatan,tanggal,tempat
"Internationale Turismus Borse
(ITB)",10-14 Maret 2010,"Berlin, Jerman"
Hi Seoul Festival,5-11 Mei 2010,"Seoul, Korsel"
Promosi Pariwisata di Rusia,23 Mei-2 Juni 2010,"Moscow, Rusia"
"Promosi Pariwisata MICE/I MEX
Frankfurt",26-27 Mei 2010,"Frankfort, Jerman"
"Promosi Pariwisata di Kawasan
UEA/ATM Dubai",4-8 Mei 2010,"Dubai, Uni Emirat
Arab"
Festival Budaya Indonesia,28 Juli-3 Agustus 2010,Los Angeles USA
World Expo Shanghai China,17 Oktober 2010 -2 November 2010,"Shanghai, China"
Festival Budaya Indonesia,20-26 Oktober,"Sidney, Australia"
Jakarta Tourism Expo,21-24 Oktober,"Makassar, Sulsel"
International Golf Travel Mart,15-21 November 2010,"Valencia, Spanyol"
Jakarta Tourism Expo,4-7 November 2010,"Surabaya, Jatim"
Jakarta Tourism Expo,18-21 November 2010,"Medan, Sumut"
"Pemasangan iklan media
elektronik di Luar Negeri",November 2010,Luar Negeri
"Pemasangan iklan media cetak
Luar Negeri",November 2010,Luar Negeri
