nama_pintu,wilayah,latitude,longitude
Cengkareng Drain,Utara,-6.154056005,106.747768
Citraland,Utara,-6.167454394,106.7880917
Grogol,Utara,-6.158604026,106.79202
Grogol,Utara,-6.158960005,106.793261
Kali Duri,Utara,-6.142371967,106.791074
Kampung Gusti,Utara,-6.145026013,106.775599
Gadjah Mada 1,Utara,-6.148274,106.816301
Gadjah Mada 2,Utara,-6.147368,106.816257
Gadjah Mada 3,Utara,-6.158618,106.818823
Gadjah Mada 4,Utara,-6.159016,106.818836
Gadjah Mada 5,Utara,-6.155098,106.817942
Gadjah Mada 6,Utara,-6.153921,106.817727
Gadjah Mada 7,Utara,-6.152603,106.817465
Gadjah Mada 8,Utara,-6.151459,106.817123
Gadjah Mada 9,Utara,-6.150477,106.816932
Kedoya 1,Utara,-6.17873,106.757272
Kedoya 2,Utara,-6.17788,106.754679
Gadjah Mada 1,Utara,-6.148274,106.816301
Gadjah Mada 2,Utara,-6.147368,106.816257
Gadjah Mada 3,Utara,-6.158618,106.818823
Gadjah Mada 4,Utara,-6.159016,106.818836
Gadjah Mada 5,Utara,-6.155098,106.817942
Gadjah Mada 6,Utara,-6.153921,106.817727
Gadjah Mada 7,Utara,-6.152603,106.817465
Gadjah Mada 8,Utara,-6.151459,106.817123
Gadjah Mada 9,Utara,-6.150477,106.816932
Pompa Kapuk Junction,Utara,-6.117796982,106.737015
Istiqlal,Utara,-6.16814699,106.831445
Abdul Latief,Utara,-6.206062026,106.810651
Bkb 1,Utara,-6.193278031,106.808871
Bkb 2,Utara,-6.192096015,106.809046
Cideng,Utara,-6.171635035,106.810986
Honda 1+2,Utara,-6.162702022,106.880362
Industri,Utara,-6.145054009,106.834052
Jatibaru,Utara,-6.184536042,106.812795
Jembatan Merah,Utara,-6.148888981,106.834514
Pompa Kali Item,Utara,-6.155260988,106.859197
Karet 1,Utara,-6.198370038,106.809817
Karet 2,Utara,-6.198087987,106.810091
Karet 3,Utara,-6.198319998,106.809534
Kartini,Utara,-6.154106967,106.835644
Kemayoran Gempol,Utara,-6.157474983,106.856741
Krida,Utara,-6.156352982,106.857786
Lautze,Utara,-6.156957988,106.836388
Mangga 2 Abdad,Utara,-6.141613992,106.832851
Manggarai,Utara,-6.207903028,106.848439
Pompa Jayakarta,Utara,-6.145678964,106.833804
Panca 1,Utara,-6.155415969,106.858851
Panca 2,Utara,-6.155959032,106.858143
Petamburan,Utara,-6.19414296,106.808922
Serdang Raya,Utara,-6.15999802,106.855397
Sumur Batu,Utara,-6.158150984,106.867838
Sunter,Utara,-6.162920035,106.879633
Taruna Jaya 2,Utara,-6.158146039,106.856515
Utan Kayu 1,Utara,-6.167072011,106.872832
Utan Kayu 2,Utara,-6.167777013,106.870931
Utan Kayu 3,Utara,-6.169046033,106.868219
Krida 2,Utara,-6.157499962,106.856957
Manggarai 2,Utara,-6.207501031,106.849153
Bali Matraman,Utara,-6.223739795,106.8520465
Minangkabau,Utara,-6.209204989,106.8453033
Sultan Agung,Utara,-6.207460966,106.8425781
Sultan Agung,Utara,-6.205442771,106.8361881
Warung Pedok,Utara,-6.223170999,106.8472818
Bidara Cina 1 Kanan,Utara,-6.225792021,106.864295
Phb Pondok Kelapa,Utara,-6.249522027,106.940207
Bidara Cina 6 Kiri,Utara,-6.228817049,106.8644895
Bidara Cina 8 Kanan,Utara,-6.229825979,106.864423
Bidara Cina 8 Kiri,Utara,-6.229516184,106.8639763
Bidara Cina 9 Kanan,Utara,-6.229923042,106.864223
Bidara Cina 9 Kiri,Utara,-6.229672506,106.8638289
Bidara Cina 10 Kanan,Utara,-6.229976015,106.864119
Bidara Cina 10 Kiri,Utara,-6.229744339,106.8637659
Bidara Cina 11 Kanan,Utara,-6.23008104,106.864029
Bidara Cina 12 Kanan,Utara,-6.230336018,106.863891
Kali Jati Kramat,Utara,-6.248878967,106.93247
Kali Buaran,Utara,-6.247965004,106.921311
Kali Sunter,Utara,-6.239704974,106.892408
Bidara Cina 1 Kiri,Utara,-6.225954713,106.8639024
Bidara Cina 2 Kanan,Utara,-6.226754012,106.864944
Bidara Cina 2 Kiri,Utara,-6.226866581,106.8645048
Bidara Cina 3 Kanan,Utara,-6.227323981,106.865055
Bidara Cina 3 Kiri,Utara,-6.22733823,106.8645947
Bidara Cina 4 Kanan,Utara,-6.227486003,106.865088
Bidara Cina 4 Kiri,Utara,-6.227553813,106.8646307
Bidara Cina 5 Kanan,Utara,-6.228138031,106.865103
Bidara Cina 5 Kiri,Utara,-6.228207098,106.8646468
Bidara Cina 6 Kanan,Utara,-6.228939006,106.865042
Bidara Cina 11 Kiri,Utara,-6.229913309,106.8636873
Bidara Cina 12 Kiri,Utara,-6.230275366,106.8635259
Condet,Utara,-6.263417965,106.865108
Hek,Utara,-6.287582992,106.87063
Jalan Pintu Air,Utara,-6.322181979,106.88861
Situ Pkp Rawa Dongkal,Utara,-6.323322002,106.864836
Kelapa Du Wetana,Utara,-6.337336041,106.887219
Waduk Cilangkap,Utara,-6.342741027,106.900692
Waduk Elok,Utara,-6.19342,106.939161
Cakung Drain,Utara,-6.183501,106.92895
Buaran,Utara,-6.18382,106.928657
Inspeksi Kali Cakung,Utara,-6.18665,106.929117
Tambak,Utara,-6.207426,106.849183
Jalan Bunga,Utara,-6.211174,106.861869
Kemuning,Utara,-6.212591,106.863807
Pulogadung,Utara,-6.190609,106.904119
Inspeksi Cakung,Utara,-6.178195,106.928308
Kayu Tinggi,Utara,-6.183445,106.945324
Sangkuriang,Utara,-6.18321,106.959603
Ancol,Utara,-6.126166,106.852418
Kodamar,Utara,-6.152839,106.888034
Pompa Waduk Tanjungan,Utara,-6.107511,106.726303
Pasar Ikan,Utara,-6.12669,106.809655
Ancol,Utara,-6.126166,106.852418
Ancol Flushing,Utara,-6.130006984,106.831268
Cilincing (Ujung),Utara,-6.09847703,106.939672
Danau Sunter Selatan,Utara,-6.148731988,106.859666
Danau Sunter Timur,Utara,-6.146752015,106.876567
Koja,Utara,-6.107003018,106.89654
Marina,Utara,-6.126688002,106.829601
Rawa Malang,Utara,-6.125217984,106.940551
Sungai Landak,Utara,-6.106905034,106.940488
Sunter C,Utara,-6.139529999,106.892223
Sunter Kanan,Utara,-6.115938965,106.896459
Sunter Kanan,Utara,-6.11423702,106.89667
Sunter Kanan,Utara,-6.113521038,106.897236
Sunter Kanan,Utara,-6.112749986,106.897962
Sunter Kanan,Utara,-6.112267021,106.898707
Sunter Kanan,Utara,-6.112239026,106.899276
Sunter Kiri,Utara,-6.111799981,106.899252
Sunter Kiri,Utara,-6.112303985,106.897938
Sunter Kiri,Utara,-6.11263901,106.897504
Sunter Kiri,Utara,-6.113443002,106.896773
Sunter Kiri,Utara,-6.114139035,106.896377
Sunter Kiri,Utara,-6.115275035,106.896163
Kali Mati,Utara,-6.138615031,106.833153
Waduk Sunter Timur 3,Utara,-6.121071,106.896744
Tangki,Utara,-6.147081,106.817312
Saringan Sampah Penjaringan,Utara,-6.125249,106.80199
Pompa Sunter Utara,Utara,-6.120166,106.866486
Sunter Kiri 1,Utara,-6.111766,106.89942
Sunter Kiri 7,Utara,-6.127062,106.894731
Sunter Kiri 8,Utara,-6.128357,106.894956
Sunter Kiri 9,Utara,-6.12782,106.895101
Sunter Kanan 7,Utara,-6.127717,106.895105
Pompa Sunter Timur 3 Lama,Utara,-6.121796,106.896378
Pompa Sunter Timur 3 Baru,Utara,-6.120721,106.896398
Sunter Kanan 8,Utara,-6.132249,106.893944
Sunter Kanan 9,Utara,-6.155511,106.886277
Sunter Kanan 10,Utara,-6.154229,106.887026
Sunter Kanan 11,Utara,-6.151186,106.888834
Sunter Kanan 12,Utara,-6.159861,106.883667
Sunter Kanan 13,Utara,-6.158565,106.884479
Sunter Kanan 14,Utara,-6.157762,106.884959
Sunter Kanan 15,Utara,-6.155812,106.886123
Sunter Kanan 16,Utara,-6.160031,106.883595
Sunter Kanan 17,Utara,-6.162115,106.882305
Baja,Utara,-6.136791967,106.786927
